queryID,n_prune_user,n_result_user,n_refine_user,ip_cost,io_cost,total_time,memory_index_time,io_time
       380,   1823104,        41,        34,   1823179,      2560,      0.85,      0.58,      0.27
       381,   1823123,        49,         7,   1823179,       576,      0.68,      0.60,      0.08
       382,   1823128,        48,         3,   1823179,       192,      0.61,      0.58,      0.03
       383,   1823126,        48,         5,   1823179,       512,      0.63,      0.58,      0.05
       384,   1823129,        50,         0,   1823179,         0,      0.45,      0.45,      0.00
       385,   1823124,        49,         6,   1823179,       448,      0.57,      0.50,      0.07
       386,   1823129,        50,         0,   1823179,         0,      0.60,      0.60,      0.00
       387,   1823127,        45,         7,   1823179,       512,      0.59,      0.51,      0.08
       388,   1823128,        46,         5,   1823179,       448,      0.67,      0.60,      0.06
       389,   1823128,        49,         2,   1823179,       192,      0.51,      0.47,      0.03
       390,   1823125,        48,         6,   1823179,       768,      0.55,      0.49,      0.06
       391,   1823125,        41,        13,   1823179,       832,      0.67,      0.56,      0.11
       392,   1823125,        49,         5,   1823179,       640,      0.63,      0.56,      0.07
       393,   1823129,        50,         0,   1823179,         0,      0.51,      0.51,      0.00
       394,   1823124,        37,        18,   1823179,      1280,      0.67,      0.52,      0.15
       395,   1823126,        48,         5,   1823179,       576,      0.54,      0.49,      0.05
       396,   1823125,        39,        15,   1823179,       960,      0.73,      0.59,      0.14
       397,   1823128,        48,         3,   1823179,       320,      0.46,      0.43,      0.03
       398,   1823128,        45,         6,   1823179,       384,      0.64,      0.58,      0.06
       399,   1823126,        44,         9,   1823179,       704,      0.65,      0.56,      0.09
       400,   1823127,        47,         5,   1823179,       320,      0.58,      0.53,      0.05
       401,   1823129,        50,         0,   1823179,         0,      0.50,      0.50,      0.00
       402,   1823126,        49,         4,   1823179,       320,      0.56,      0.52,      0.03
       403,   1823126,        47,         6,   1823179,       576,      0.61,      0.57,      0.04
       404,   1823110,        36,        33,   1823179,      2112,      0.86,      0.59,      0.27
       405,    490801,        50,         0,   1823179,         0,      0.73,      0.73,      0.00
       406,   1823129,        50,         0,   1823179,         0,      0.54,      0.54,      0.00
       407,   1823124,        44,        11,   1823179,      2624,      0.64,      0.55,      0.10
       408,   1823124,        47,         8,   1823179,       576,      0.66,      0.59,      0.07
       409,   1823119,        48,        12,   1823179,       768,      0.68,      0.58,      0.10
       410,   1823129,        50,         0,   1823179,         0,      0.54,      0.54,      0.00
       411,   1823128,        48,         3,   1823179,       192,      0.58,      0.53,      0.04
       412,   1823123,        46,        10,   1823179,      1344,      0.66,      0.56,      0.10
       413,   1823117,        46,        16,   1823179,      1088,      0.64,      0.51,      0.12
       414,   1823129,        50,         0,   1823179,         0,      0.55,      0.55,      0.00
       415,   1823127,        49,         3,   1823179,       256,      0.57,      0.54,      0.03
       416,   1823127,        46,         6,   1823179,       384,      0.67,      0.60,      0.07
       417,   1823128,        44,         7,   1823179,       576,      0.60,      0.52,      0.07
       418,   1823129,        50,         0,   1823179,         0,      0.42,      0.42,      0.00
       419,   1823125,        33,        21,   1823179,      1344,      0.76,      0.57,      0.19
       420,   1823124,        46,         9,   1823179,       832,      0.68,      0.61,      0.07
       421,   1823128,        49,         2,   1823179,       192,      0.57,      0.55,      0.02
       422,   1823129,        50,         0,   1823179,         0,      0.50,      0.50,      0.00
       423,   1823129,        50,         0,   1823179,         0,      0.57,      0.57,      0.00
       424,   1823127,        48,         4,   1823179,       256,      0.59,      0.56,      0.03
       425,   1823128,        48,         3,   1823179,       512,      0.51,      0.49,      0.02
       426,   1823117,        42,        20,   1823179,      1280,      0.74,      0.57,      0.17
       427,   1573191,        50,         0,   1823179,         0,      0.63,      0.63,      0.00
       428,   1823128,        47,         4,   1823179,       256,      0.60,      0.56,      0.04
       429,   1823128,        47,         4,   1823179,       256,      0.59,      0.55,      0.05
       430,   1823128,        49,         2,   1823179,       128,      0.59,      0.56,      0.03
       431,   1823126,        47,         6,   1823179,       576,      0.61,      0.54,      0.06
       432,   1823126,        49,         4,   1823179,       320,      0.61,      0.56,      0.05
       433,   1823127,        49,         3,   1823179,       256,      0.54,      0.52,      0.02
       434,   1823102,        47,        30,   1823179,      1920,      0.87,      0.60,      0.26
       435,   1823099,        49,        31,   1823179,      1984,      0.88,      0.61,      0.27
       436,   1823095,        49,        35,   1823179,      2240,      0.81,      0.53,      0.28
       437,   1823126,        42,        11,   1823179,       768,      0.69,      0.59,      0.10
       438,   1823126,        48,         5,   1823179,       384,      0.53,      0.49,      0.04
       439,   1823125,        49,         5,   1823179,       320,      0.62,      0.56,      0.06
       440,   1823128,        47,         4,   1823179,       320,      0.58,      0.52,      0.05
       441,   1823126,        44,         9,   1823179,       576,      0.68,      0.59,      0.09
       442,   1823129,        50,         0,   1823179,         0,      0.56,      0.56,      0.00
       443,   1823127,        49,         3,   1823179,       192,      0.54,      0.52,      0.02
       444,   1823129,        50,         0,   1823179,         0,      0.47,      0.47,      0.00
