[2022-09-14 08:37:24.174] [info] queryID 151, result_size 23, rtk_topk 128, single_query_time 3.50s
[2022-09-14 08:37:27.162] [info] queryID 152, result_size 15, rtk_topk 64, single_query_time 2.99s
[2022-09-14 08:37:31.522] [info] queryID 153, result_size 11, rtk_topk 1024, single_query_time 4.36s
[2022-09-14 08:37:34.515] [info] queryID 154, result_size 37, rtk_topk 32, single_query_time 2.99s
[2022-09-14 09:15:46.951] [info] queryID 155, result_size 5484, rtk_topk 8192, single_query_time 2292.44s
[2022-09-14 09:15:47.490] [info] queryID 156, result_size 128, rtk_topk 1, single_query_time 0.54s
[2022-09-14 09:23:28.676] [info] queryID 157, result_size 18, rtk_topk 2048, single_query_time 461.19s
[2022-09-14 09:23:32.641] [info] queryID 158, result_size 27, rtk_topk 128, single_query_time 3.96s
[2022-09-14 09:23:37.081] [info] queryID 159, result_size 154, rtk_topk 256, single_query_time 4.44s
[2022-09-14 09:23:40.056] [info] queryID 160, result_size 13, rtk_topk 32, single_query_time 2.97s
[2022-09-14 09:23:43.635] [info] queryID 161, result_size 10, rtk_topk 256, single_query_time 3.58s
[2022-09-14 09:23:47.453] [info] queryID 162, result_size 46, rtk_topk 1024, single_query_time 3.82s
[2022-09-14 09:23:51.196] [info] queryID 163, result_size 22, rtk_topk 128, single_query_time 3.74s
[2022-09-14 09:23:53.194] [info] queryID 164, result_size 42, rtk_topk 8, single_query_time 2.00s
[2022-09-14 09:23:56.601] [info] queryID 165, result_size 13, rtk_topk 128, single_query_time 3.41s
[2022-09-14 09:24:00.096] [info] queryID 166, result_size 10, rtk_topk 512, single_query_time 3.50s
[2022-09-14 09:24:02.443] [info] queryID 167, result_size 26, rtk_topk 16, single_query_time 2.35s
[2022-09-14 09:44:05.242] [info] queryID 168, result_size 215, rtk_topk 4096, single_query_time 1202.80s
[2022-09-14 09:44:08.228] [info] queryID 169, result_size 23, rtk_topk 128, single_query_time 2.99s
[2022-09-14 09:44:21.954] [info] queryID 170, result_size 2706, rtk_topk 512, single_query_time 13.73s
[2022-09-14 09:52:04.497] [info] queryID 171, result_size 129, rtk_topk 2048, single_query_time 462.54s
[2022-09-14 09:52:08.226] [info] queryID 172, result_size 10, rtk_topk 1024, single_query_time 3.73s
[2022-09-14 09:52:11.280] [info] queryID 173, result_size 21, rtk_topk 512, single_query_time 3.05s
[2022-09-14 09:52:15.315] [info] queryID 174, result_size 87, rtk_topk 128, single_query_time 4.04s
[2022-09-14 09:52:20.495] [info] queryID 175, result_size 194, rtk_topk 512, single_query_time 5.18s
[2022-09-14 09:52:22.974] [info] queryID 176, result_size 10, rtk_topk 16, single_query_time 2.48s
[2022-09-14 09:52:49.180] [info] queryID 177, result_size 331, rtk_topk 1024, single_query_time 26.21s
[2022-09-14 10:00:31.507] [info] queryID 178, result_size 28, rtk_topk 2048, single_query_time 462.33s
[2022-09-14 10:20:32.076] [info] queryID 179, result_size 109, rtk_topk 4096, single_query_time 1200.57s
[2022-09-14 10:20:36.043] [info] queryID 180, result_size 18, rtk_topk 256, single_query_time 3.97s
[2022-09-14 10:20:38.454] [info] queryID 181, result_size 45, rtk_topk 512, single_query_time 2.41s
[2022-09-14 10:20:42.388] [info] queryID 182, result_size 103, rtk_topk 128, single_query_time 3.93s
[2022-09-14 10:20:53.244] [info] queryID 183, result_size 10, rtk_topk 1024, single_query_time 10.86s
[2022-09-14 10:28:33.882] [info] queryID 184, result_size 23, rtk_topk 2048, single_query_time 460.64s
[2022-09-14 10:28:36.502] [info] queryID 185, result_size 11, rtk_topk 512, single_query_time 2.62s
[2022-09-14 10:28:40.160] [info] queryID 186, result_size 11, rtk_topk 128, single_query_time 3.66s
[2022-09-14 10:28:44.761] [info] queryID 187, result_size 99, rtk_topk 512, single_query_time 4.60s
[2022-09-14 10:28:50.023] [info] queryID 188, result_size 56, rtk_topk 512, single_query_time 5.26s
[2022-09-14 10:28:50.535] [info] queryID 189, result_size 12, rtk_topk 1, single_query_time 0.51s
[2022-09-14 10:28:52.180] [info] queryID 190, result_size 13, rtk_topk 8, single_query_time 1.64s
[2022-09-14 10:28:55.141] [info] queryID 191, result_size 10, rtk_topk 128, single_query_time 2.96s
[2022-09-14 10:29:03.180] [info] queryID 192, result_size 63, rtk_topk 1024, single_query_time 8.04s
[2022-09-14 10:29:07.006] [info] queryID 193, result_size 69, rtk_topk 512, single_query_time 3.83s
[2022-09-14 10:36:52.450] [info] queryID 194, result_size 67, rtk_topk 2048, single_query_time 465.44s
[2022-09-14 10:56:51.655] [info] queryID 195, result_size 10, rtk_topk 4096, single_query_time 1199.21s
[2022-09-14 10:56:57.319] [info] queryID 196, result_size 202, rtk_topk 512, single_query_time 5.66s
[2022-09-14 11:04:38.354] [info] queryID 197, result_size 21, rtk_topk 2048, single_query_time 461.04s
[2022-09-14 11:04:42.999] [info] queryID 198, result_size 122, rtk_topk 256, single_query_time 4.64s
[2022-09-14 11:42:52.410] [info] queryID 199, result_size 115, rtk_topk 8192, single_query_time 2289.41s
[2022-09-14 11:42:55.334] [info] queryID 200, result_size 10, rtk_topk 64, single_query_time 2.92s
[2022-09-14 12:02:54.665] [info] queryID 201, result_size 23, rtk_topk 4096, single_query_time 1199.33s
[2022-09-14 12:22:54.506] [info] queryID 202, result_size 251, rtk_topk 4096, single_query_time 1199.84s
[2022-09-14 12:30:36.488] [info] queryID 203, result_size 43, rtk_topk 2048, single_query_time 461.98s
[2022-09-14 13:08:47.492] [info] queryID 204, result_size 5881, rtk_topk 8192, single_query_time 2291.00s
[2022-09-14 13:08:51.120] [info] queryID 205, result_size 53, rtk_topk 256, single_query_time 3.63s
[2022-09-14 13:08:53.210] [info] queryID 206, result_size 22, rtk_topk 1024, single_query_time 2.09s
[2022-09-14 13:28:53.379] [info] queryID 207, result_size 180, rtk_topk 4096, single_query_time 1200.17s
[2022-09-14 13:28:57.681] [info] queryID 208, result_size 55, rtk_topk 1024, single_query_time 4.30s
[2022-09-14 13:29:00.654] [info] queryID 209, result_size 50, rtk_topk 32, single_query_time 2.97s
[2022-09-14 13:29:05.500] [info] queryID 210, result_size 86, rtk_topk 1024, single_query_time 4.85s
[2022-09-14 13:36:44.687] [info] queryID 211, result_size 10, rtk_topk 2048, single_query_time 459.19s
[2022-09-14 13:44:27.374] [info] queryID 212, result_size 138, rtk_topk 2048, single_query_time 462.69s
[2022-09-14 13:44:31.787] [info] queryID 213, result_size 12, rtk_topk 256, single_query_time 4.41s
[2022-09-14 13:44:37.957] [info] queryID 214, result_size 963, rtk_topk 128, single_query_time 6.17s
[2022-09-14 13:52:18.680] [info] queryID 215, result_size 43, rtk_topk 2048, single_query_time 460.72s
[2022-09-14 13:52:24.977] [info] queryID 216, result_size 30, rtk_topk 1024, single_query_time 6.30s
[2022-09-14 14:12:25.668] [info] queryID 217, result_size 1704, rtk_topk 4096, single_query_time 1200.69s
[2022-09-14 14:12:30.143] [info] queryID 218, result_size 203, rtk_topk 128, single_query_time 4.47s
[2022-09-14 14:12:36.993] [info] queryID 219, result_size 43, rtk_topk 1024, single_query_time 6.85s
[2022-09-14 14:12:40.288] [info] queryID 220, result_size 43, rtk_topk 256, single_query_time 3.30s
[2022-09-14 14:12:44.706] [info] queryID 221, result_size 60, rtk_topk 256, single_query_time 4.42s
[2022-09-14 14:12:46.698] [info] queryID 222, result_size 25, rtk_topk 8, single_query_time 1.99s
[2022-09-14 14:12:51.033] [info] queryID 223, result_size 31, rtk_topk 256, single_query_time 4.33s
[2022-09-14 14:13:01.004] [info] queryID 224, result_size 124, rtk_topk 1024, single_query_time 9.97s
[2022-09-14 14:13:01.504] [info] queryID 225, result_size 13, rtk_topk 1, single_query_time 0.50s
[2022-09-14 14:13:03.921] [info] queryID 226, result_size 14, rtk_topk 16, single_query_time 2.42s
[2022-09-14 14:13:05.530] [info] queryID 227, result_size 25, rtk_topk 256, single_query_time 1.61s
[2022-09-14 14:13:06.686] [info] queryID 228, result_size 11, rtk_topk 256, single_query_time 1.16s
